12	5	0	4	214	180	0	10	42
1	0	0	0	196	115	0	0	271
0	0	0	3	38	43	0	0	464
213	468	135	161	366	391	44	127	318
0	0	0	0	46	2	0	0	5
0	0	0	0	0	0	0	0	5
0	0	8	0	1	1	1	6	4
0	0	0	0	0	0	0	0	0
37	0	7	28	24	31	43	25	14
40	0	0	0	45	15	0	0	59
0	7	276	1	294	104	13	47	49
158	305	138	1	462	100	68	101	245
9	0	0	0	98	0	12	0	69
287	226	215	604	523	174	180	41	815
1224	2299	902	733	1635	1189	1174	1103	855
0	19	11	0	0	3	0	0	2
0	12	0	0	259	2	37	0	12
0	2	6	0	0	82	0	0	1
593	37	0	35	624	184	0	0	461
0	0	0	0	0	0	0	0	0
58	453	156	11	22	113	122	25	41
0	164	0	0	0	35	0	0	0
0	0	0	0	0	0	0	0	0
0	174	0	0	0	0	0	0	10
0	0	0	0	0	59	0	0	0
65	0	0	216	0	33	0	0	124
0	0	0	11	0	2	0	0	0
0	0	5	120	0	0	0	0	14
