11	43	0	75	178	139	51	55	161	0	3066
106	109	85	486	964	208	138	417	2552	266	9954
74	78	38	310	174	334	553	180	2625	69	2109
0	1	0	0	0	0	1	0	0	0	0
16	1	5	9	0	31	88	32	286	49	251
0	2	0	0	0	0	0	0	0	0	0
5	1	32	39	61	89	0	1	363	39	229
10	0	25	11	60	117	96	0	305	112	959
0	1	0	0	0	0	0	0	0	0	0
15	24	5	60	180	40	88	41	113	35	259
0	7	16	1	30	28	0	48	787	108	371
13	7	7	24	123	51	9	53	51	28	566
2	36	0	117	48	26	75	50	15	8	104
0	0	0	0	0	0	0	0	1	0	0
2	0	0	0	0	12	1	0	0	1	0
16	40	21	57	90	14	76	35	554	78	279
0	2	0	0	0	0	7	34	1	4	0
48	43	0	14	165	58	86	63	658	20	605
